"1","10704","xxe9aa88c3001b5efa64cea3faad5b3742","xx5a6b4f85773cbf574de087ee07974130","xx5014244b2b17d2eb4f9761ddb041ebcd","","","59c25be234d3f58040042bfb6d97a6bc","00e2403bb3dcb3a1f2a0842abe35729f","2016/10/24 17:05:46","","Mozilla/5.0 (Linux; Android 5.1; OPPO R9tm Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.8 TBS/036849 Safari/537.36 MicroMessenger/6.3.27.880 NetType/WIFI Language/zh_CN",""
"2","32013","xxa663ddf071a2ef43cf78b8284d3a5dcd","xxc3508de311ce9528eb5fb61c33fd91b5","xx2da8485c6853606868e36d9fe927aa81","","","c17e96ac34d43b5a75b94e6c10c2580f","a56a8dd564dcdd5002b76720068185dc","2016/10/24 17:05:47","","Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.8 TBS/036849 Safari/537.36 MicroMessenger/6.3.27.880 NetType/WIFI Language/zh_CN",""
"3","46368","xx1011b6f016676dcb23369c6891f867ff","xx6624824b3125246ce459a89e2b136524","xxa1eddb067d69156b5a420a68e90e67cd","","","5b48c78089c6f21a864d9e71cbaf0c9d","43a67fe540fa06c10e828faf1e889394","2016/10/24 17:05:47","","Mozilla/5.0 (Linux; Android 4.4.2; 2014501 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.8 TBS/036865 Safari/537.36 MicroMessenger/6.3.27.880 NetType/WIFI Language/zh_CN",""
"4","22570","xxc8347c9a822c6da30835948e168bbbcc","xxc1a8877eb88184e7e02b49651064e3c0","xx3c1f9145ecee6dd814d4425abc6c369c","","","fca8f5236f19ebce72d5785aa76f8758","63374afa2d3ae6f7e7afe710494763a6","2016/10/24 17:05:50","","Mozilla/5.0 (Linux; Android 4.4.2; HUAWEI MT7-TL00 Build/HuaweiMT7-TL00) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.8 TBS/036849 Safari/537.36 MicroMessenger/6.3.27.880 NetType/WIFI Language/zh_CN",""
"5","48855","xx0a5cd9816c001af23c761742fd77e4cd","xx8cd226afa6d24cd2259521eec88cea02","xx0e27c2739a9e64e56e4cfb56ddfa318e","","","716045ac0a643389933fb93fd735fce7","f15a8d1bd88ffbaea754242ad33af05b","2016/10/24 17:05:52","","Mozilla/5.0 (Linux; Android 6.0.1; MI NOTE LTE Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.8 TBS/036824 Safari/537.36 MicroMessenger/6.3.27.880 NetType/WIFI Language/zh_CN",""
"6","49733","xx6cc8c17713a9b6fe1a8c30a7cf20d628","xxd6783c381fb54181e2247c6693a8f3da","xxd28321b7c6d1358dd5b62101b960506a","","","951ddfb533939e78289404d2b29d65c9","ed148ea8d13a96e98cd2d3cfb07559f1","2016/10/24 17:05:53","","Mozilla/5.0 (Linux; Android 5.1; vivo X6Plus D Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.8 TBS/036869 Safari/537.36 MicroMessenger/6.3.25.861 NetType/WIFI Language/zh_CN",""
"7","9033","xx8253ffd37b6e5742470a920da1f3e2e9","xx85f78130c6e0222986a938d6f004ecef","xxcd85b4318bef77c2a37bcc4bdb88fb4f","","","03058ff25b1b7f26625c3e6dad07f9c3","0ea24b415bec732831d2caeff51e84db","2016/10/24 17:05:54","","Mozilla/5.0 (Linux; Android 5.1; OPPO A37m Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.8 TBS/036849 Safari/537.36 MicroMessenger/6.3.27.880 NetType/WIFI Language/zh_CN",""
"8","10704","xxe9aa88c3001b5efa64cea3faad5b3742","xx5a6b4f85773cbf574de087ee07974130","xx5014244b2b17d2eb4f9761ddb041ebcd","","","59c25be234d3f58040042bfb6d97a6bc","00e2403bb3dcb3a1f2a0842abe35729f","2016/10/24 17:05:55","","Mozilla/5.0 (Linux; Android 5.1; OPPO R9tm Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.8 TBS/036849 Safari/537.36 MicroMessenger/6.3.27.880 NetType/WIFI Language/zh_CN",""
"9","7900","xx132498fdffd9b48d8cfd6639d3953331","xx1cbe061286e607fbfe16ab2f0e7a5ddd","xx5ba6e83ab19ca3a94d39ebfc36eb8d6b","","","0651ca454e3fb2ad2ff6a602bdf9d99c","941318af80826a190c56aac2e3ae6e34","2016/10/24 17:05:56","","Mozilla/5.0 (Linux; Android 4.4.4; 2014811 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.8 TBS/036849 Safari/537.36 MicroMessenger/6.3.25.861 NetType/WIFI Language/zh_CN",""
"10","42133","xx19db038d4d766b641ece1a49a097cca1","xx65fb85131ae39510134a20fd84a33be7","xxe180077fe8d7d78330cdf873114ffaa6","","","03f52a4f7e66c7ccc384ce91e7bd50e9","759f2e16a7cf17181ad86f9b491ac761","2016/10/24 17:05:56","","Mozilla/5.0 (Linux; Android 5.1.1; OPPO A33m Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/37.0.0.0 Mobile MQQBrowser/6.8 TBS/036849 Safari/537.36 MicroMessenger/6.3.27.880 NetType/WIFI Language/zh_CN",""
